temperature_C,wavelength_nm,absorption_cm2,archived_emission_reconstruction_cm2,mccumber_emission_cm2,fluorescence_photon_probability_per_nm,energy_equivalent_fluorescence_wavelength_nm
140.0,937.0,6.244814170856504e-21,1.0176018910634786e-21,1.6796551197461341e-21,0.006433675143826166,1000.9603125472845
140.0,937.5,6.145149004463452e-21,1.0577339842371344e-21,1.6859378053532832e-21,0.006443974564313754,1000.9603125472845
140.0,938.0,6.036917187292932e-21,1.0873651649372716e-21,1.6893658279029462e-21,0.00644332036708217,1000.9603125472845
140.0,938.5,5.919154213826014e-21,1.1055408231161515e-21,1.6895005369804043e-21,0.00643011292545051,1000.9603125472845
140.0,939.0,5.7909145616925855e-21,1.1116666246568928e-21,1.6858808629862593e-21,0.006402681309262148,1000.9603125472845
140.0,939.5,5.651388013945e-21,1.1055408231161515e-21,1.6780571984399866e-21,0.006359412499510637,1000.9603125472845
140.0,940.0,5.499999825460375e-21,1.0873651649372716e-21,1.6656245033069424e-21,0.006298876023973125,1000.9603125472845
140.0,940.5,5.336480597084133e-21,1.0577339842371344e-21,1.6482498587892379e-21,0.006219926051460737,1000.9603125472845
140.0,941.0,5.160912319863319e-21,1.0176018910634786e-21,1.625695450235558e-21,0.0061217849637139965,1000.9603125472845
140.0,941.5,4.973747762092208e-21,9.682327794259876e-22,1.5978352125013044e-21,0.006004102034359625,1000.9603125472845
140.0,942.0,4.775803603066982e-21,9.111335882237996e-22,1.5646642158714538e-21,0.005866984121850344,1000.9603125472845
140.0,942.5,4.568234179794807e-21,8.479783686502151e-22,1.5263019677373184e-21,0.005711003184804105,1000.9603125472845
140.0,943.0,4.352487866141218e-21,7.805268989908267e-22,1.4829894307661018e-21,0.005537180217343464,1000.9603125472845
140.0,943.5,4.1302505272804315e-21,7.1054471306039125e-22,1.435080442111317e-21,0.005346948504006442,1000.9603125472845
140.0,944.0,3.9033825117971256e-21,6.397279754011045e-22,1.3830291141225945e-21,0.005142102377908082,1000.9603125472845
140.0,944.5,3.673851200923598e-21,5.696390092585383e-22,1.3273735022080832e-21,0.004924732759210231,1000.9603125472845
140.0,945.0,3.443665981157627e-21,5.016542948707695e-22,1.2687176962597115e-21,0.0046971576568019925,1000.9603125472845
140.0,945.5,3.2148138227255093e-21,4.369278663223764e-22,1.2077116041870238e-21,0.004461845009874134,1000.9603125472845
140.0,946.0,2.9892051574130723e-21,3.7637038464234646e-22,1.1450319990024849e-21,0.004221341154198939,1000.9603125472845
140.0,946.5,2.7686244012097012e-21,3.2064285216038226e-22,1.081362983695801e-21,0.0039781980450493085,1000.9603125472845
140.0,947.0,2.5546897665783814e-21,2.701644380070822e-22,1.0173778149440431e-21,0.003734906385922243,1000.9603125472845
140.0,947.5,2.3488253935776384e-21,2.251310068788817e-22,9.537236717687238e-22,0.003493840391473327,1000.9603125472845
140.0,948.0,2.152238529693274e-21,1.8554235682738901e-22,8.910069145897471e-22,0.00325720504470285,1000.9603125472845
140.0,948.5,1.96590983631556e-21,1.5123473295045482e-22,8.297824322627429e-22,0.0030269989392687265,1000.9603125472845
140.0,949.0,1.790589147823016e-21,1.2191608000830447e-22,7.7054444565637905e-22,0.0028049829017492436,1000.9603125472845
140.0,949.5,1.6267998134728266e-21,9.720121930902397e-23,7.137204130327387e-22,0.002592660287895846,1000.9603125472845
140.0,950.0,1.4748490977430187e-21,7.664510077343657e-23,6.596673890784344e-22,0.002391266433662345,1000.9603125472845
140.0,950.5,1.334843023539254e-21,5.977231895473264e-23,6.086704645102545e-22,0.0022017657781347334,1000.9603125472845
140.0,951.0,1.2067061631372197e-21,4.6102113618277893e-23,5.609438114230563e-22,0.0020248584419915246,1000.9603125472845
140.0,951.5,1.0902026408153666e-21,3.516819854932707e-23,5.166329075198624e-22,0.0018609909829430404,1000.9603125472845
140.0,952.0,9.849602656877243e-22,2.6533484852958914e-23,4.758189937369961e-22,0.0017103750568911089,1000.9603125472845
140.0,952.5,8.904937557689502e-22,1.979999378021125e-23,4.385240380257329e-22,0.0015730076722959999,1000.9603125472845
140.0,953.0,8.0622942616521835e-22,1.4614501816718693e-23,4.047174064223485e-22,0.0014486973125869271,1000.9603125472845
140.0,953.5,7.315273024231156e-22,1.0670669818295863e-23,3.743223449759913e-22,0.0013370890650523137,1000.9603125472845
140.0,954.0,6.657029309559488e-22,7.708414288795914e-24,3.472233589654811e-22,0.0012376926416284516,1000.9603125472845
140.0,954.5,6.080468670635473e-22,5.511271401395752e-24,3.2327346810180335e-22,0.001149909614632856,1000.9603125472845
140.0,955.0,5.578418405455605e-22,3.902462554831232e-24,3.0230124710009664e-22,0.0010730595553735003,1000.9603125472845
140.0,955.5,5.14377800856643e-22,2.7402345720300202e-24,2.8411766399956994e-22,0.0010064051336823217,1000.9603125472845
140.0,956.0,4.769644379067408e-22,1.9129561407247448e-24,2.685223956599793e-22,0.0009491750586325676,1000.9603125472845
140.0,956.5,4.449413299677776e-22,1.334332681809535e-24,2.5530957509575424e-22,0.0009005847303669762,1000.9603125472845
140.0,957.0,4.176857439302848e-22,9.390006597919746e-25,2.44272853682584e-22,0.0008598542232012015,1000.9603125472845
140.0,957.5,3.946187694858003e-22,6.787270481669748e-25,2.352100438120176e-22,0.0008262245704686981,1000.9603125472845
140.0,958.0,3.752089541979204e-22,5.195073566654986e-25,2.279267383974623e-22,0.0007989702588374493,1000.9603125472845
140.0,958.5,3.5897477737009824e-22,4.402366471482955e-25,2.222395621117727e-22,0.0007774102771231388,1000.9603125472845
140.0,959.0,3.4548583649244514e-22,4.347384838541313e-25,2.179788988052423e-22,0.0007609171968315041,1000.9603125472845
140.0,959.5,3.343625443191434e-22,5.217015239695642e-25,2.149908726101485e-22,0.0007489235373068782,1000.9603125472845
140.0,960.0,3.2527577545876014e-22,7.731147978185412e-25,2.131394084109565e-22,0.0007409283247066565,1000.9603125472845
140.0,960.5,3.179464119903665e-22,1.3834305956895855e-24,2.1230833782680257e-22,0.0007365037240998821,1000.9603125472845
140.0,961.0,3.121493571878232e-22,2.8208421542625396e-24,2.1240665497677537e-22,0.0007353124895809237,1000.9603125472845
140.0,961.5,3.077343109605802e-22,6.127218729357749e-24,2.13385855184059e-22,0.0007371669352002586,1000.9603125472845
140.0,962.0,3.0470389863773004e-22,1.3453705616460457e-23,2.1529960987827617e-22,0.0007422331181200009,1000.9603125472845
140.0,962.5,3.034607800688465e-22,2.8908511535751435e-23,2.184916441027696e-22,0.0007516735243554008,1000.9603125472845
140.0,963.0,3.0547693183774865e-22,5.970940571981945e-23,2.2411412686140674e-22,0.000769416433779967,1000.9603125472845
140.0,963.5,3.1484723624013005e-22,1.1743285095530138e-22,2.3536440343058e-22,0.0008063642746575352,1000.9603125472845
140.0,964.0,3.413112098255645e-22,2.1883226178416674e-22,2.5997589112820374e-22,0.0008888373863740485,1000.9603125472845
140.0,964.5,4.049482277747346e-22,3.853548413987661e-22,3.1427889149557753e-22,0.0010722687729796323,1000.9603125472845
140.0,965.0,5.412829811909238e-22,6.403455840701328e-22,4.280207670186775e-22,0.0014573134102160489,1000.9603125472845
140.0,965.5,8.02841994329327e-22,1.0032897075669114e-21,6.468251428509519e-22,0.0021977341386717124,1000.9603125472845
140.0,966.0,1.2507081933417234e-21,1.4815053167346562e-21,1.0266460684471953e-21,0.0034810448310778484,1000.9603125472845
140.0,966.5,1.9307560739207986e-21,2.0612941007005815e-21,1.6146995181601836e-21,0.005463634717086499,1000.9603125472845
140.0,967.0,2.8373185602976408e-21,2.702010714453432e-21,2.4174838499178356e-21,0.008163098911878844,1000.9603125472845
140.0,967.5,3.880422999140594e-21,3.336847196884089e-21,3.368351193812665e-21,0.011350391588248283,1000.9603125472845
140.0,968.0,4.881882246484805e-21,3.882557189744466e-21,4.3171790343631934e-21,0.014517639365134902,1000.9603125472845
140.0,968.5,5.617992212300305e-21,4.257046652309727e-21,5.0612759771036346e-21,0.016984739577297892,1000.9603125472845
140.0,969.0,5.899999812766584e-21,4.3999998603683e-21,5.4148781234665925e-21,0.01813388894189041,1000.9603125472845
140.0,969.5,5.653973357256011e-21,4.289502990036064e-21,5.2861555302697575e-21,0.017666318542486157,1000.9603125472845
140.0,970.0,4.95424722148934e-21,3.948410136909064e-21,4.718511808248662e-21,0.01573676584910182,1000.9603125472845
140.0,970.5,3.989960614612081e-21,3.437958919607151e-21,3.871050949389793e-21,0.012883803789687863,1000.9603125472845
140.0,971.0,2.9851728538752684e-21,2.8411343751595038e-21,2.950219956212205e-21,0.009798844154562681,1000.9603125472845
140.0,971.5,2.118377438954018e-21,2.24202054374313e-21,2.1325765495897608e-21,0.0070685573064051144,1000.9603125472845
140.0,972.0,1.4797926933985343e-21,1.7081938000977083e-21,1.51743568209521e-21,0.0050192936697336975,1000.9603125472845
140.0,972.5,1.0752564403429422e-21,1.280977026088769e-21,1.1231075795528547e-21,0.003707321859705399,1000.9603125472845
140.0,973.0,8.589778917029314e-22,9.746359570827793e-22,9.138669306292278e-22,0.0030104330609494307,1000.9603125472845
140.0,973.5,7.698618529619241e-22,7.82287687018378e-22,8.342519639705389e-22,0.002742526218094349,1000.9603125472845
140.0,974.0,7.552655280781835e-22,6.84731518167328e-22,8.336031836787661e-22,0.0027347706531509197,1000.9603125472845
140.0,974.5,7.794387000819542e-22,6.58737932873346e-22,8.762110934850074e-22,0.002868657817296208,1000.9603125472845
140.0,975.0,8.219649924138429e-22,6.827925611711671e-22,9.411070191902986e-22,0.003074807442071087,1000.9603125472845
140.0,975.5,8.726567650430129e-22,7.398830181054124e-22,1.0176065681710356e-21,0.0033179373421740655,1000.9603125472845
140.0,976.0,9.268633484561618e-22,8.179793389545299e-22,1.1007653611200179e-21,0.0035817301096171075,1000.9603125472845
140.0,976.5,9.824557017334072e-22,9.092203291604873e-22,1.1883010849061158e-21,0.0038586454627706954,1000.9603125472845
140.0,977.0,1.0382822141708715e-21,1.008677387735856e-21,1.2789550464882931e-21,0.004144521517647022,1000.9603125472845
140.0,977.5,1.0935110603429909e-21,1.1132229399378108e-21,1.371769952303354e-21,0.004436204879370179,1000.9603125472845
140.0,978.0,1.1473976565294334e-21,1.2207127987170893e-21,1.4658252824900246e-21,0.00473068643640034,1000.9603125472845
140.0,978.5,1.1992224606104412e-21,1.3294861405000496e-21,1.5601633209884731e-21,0.005024861748610258,1000.9603125472845
140.0,979.0,1.2482871350473894e-21,1.438109232679558e-21,1.6537840258389833e-21,0.0053155156265303006,1000.9603125472845
140.0,979.5,1.2939288852185986e-21,1.5452689058383471e-21,1.7456639177423563e-21,0.00559938394490056,1000.9603125472845
140.0,980.0,1.335538634774591e-21,1.6497518540388638e-21,1.83478240009683e-21,0.005873238493844501,1000.9603125472845
140.0,980.5,1.372578494173976e-21,1.7504605887462156e-21,1.920149959507788e-21,0.006133976802092145,1000.9603125472845
140.0,981.0,1.404598623374161e-21,1.846445649596653e-21,2.0008384354818115e-21,0.006378717457423424,1000.9603125472845
140.0,981.5,1.4312499545800291e-21,1.93693710834668e-21,2.0760082950121128e-21,0.006604884727902809,1000.9603125472845
140.0,982.0,1.4522944916119189e-21,2.0213705192413933e-21,2.144934854720474e-21,0.006810288798159623,1000.9603125472845
140.0,982.5,1.467611873228355e-21,2.0994033778084075e-21,2.207031161771461e-21,0.006993194425370694,1000.9603125472845
140.0,983.0,1.4772006857905953e-21,2.1709199676192574e-21,2.2618646227640842e-21,0.007152368970100443,1000.9603125472845
140.0,983.5,1.4811768476754966e-21,2.2360246959924713e-21,2.3091700705222145e-21,0.007287118579528249,1000.9603125472845
140.0,984.0,1.4797670459527837e-21,2.2950239186383125e-21,2.348855526151554e-21,0.007397300901574803,1000.9603125472845
140.0,984.5,1.4732990428622446e-21,2.348398272729115e-21,2.3810026114064418e-21,0.007483320805570124,1000.9603125472845
140.0,985.0,1.4621875394263102e-21,2.396765720343593e-21,2.4058587738397364e-21,0.0075461004498775346,1000.9603125472845
140.0,985.5,1.4469190293206744e-21,2.440840956840101e-21,2.4238260786760807e-21,0.00758703894158196,1000.9603125472845
140.0,986.0,1.4280328157254696e-21,2.481390376365281e-21,2.4354414097899758e-21,0.007607945626178195,1000.9603125472845
140.0,986.5,1.406102835970011e-21,2.519187643207874e-21,2.4413551787328114e-21,0.007610969514847616,1000.9603125472845
140.0,987.0,1.3817173657194273e-21,2.554972696275204e-21,2.4423033562863088e-21,0.007598508775096764,1000.9603125472845
140.0,987.5,1.3554609445936003e-21,2.5894151964342693e-21,2.4390799806742454e-21,0.007573122784631682,1000.9603125472845
140.0,988.0,1.3278965037344951e-21,2.623085647891726e-21,2.4325067287261234e-21,0.007537436140163123,1000.9603125472845
140.0,988.5,1.2995495128574109e-21,2.656434395561146e-21,2.4234027839536548e-21,0.007494044741220637,1000.9603125472845
140.0,989.0,1.2708953584764953e-21,2.689780517901473e-21,2.412557567169314e-21,0.007445431843612194,1000.9603125472845
140.0,989.5,1.2423487416141796e-21,2.7233092015879303e-21,2.4007045659245966e-21,0.007393888515551735,1000.9603125472845
140.0,990.0,1.2142567105816626e-21,2.7570771941185958e-21,2.3884997685206368e-21,0.007341449215146163,1000.9603125472845
140.0,990.5,1.1868939151917065e-21,2.7910269402018234e-21,2.3765026247976092e-21,0.007289835907232116,1000.9603125472845
140.0,991.0,1.1604624048102437e-21,2.825005362956678e-21,2.3651647197804675e-21,0.007240426479190841,1000.9603125472845
140.0,991.5,1.1350924361499443e-21,2.858786482132806e-21,2.354819906980572e-21,0.007194228012303971,1000.9603125472845
140.0,992.0,1.1108471180832258e-21,2.8920976674013634e-21,2.3456821082686074e-21,0.00715187376682107,1000.9603125472845
140.0,992.5,1.0877284700940059e-21,2.9246452858007644e-21,2.3378465710608338e-21,0.007113630740249198,1000.9603125472845
140.0,993.0,1.0656849953423912e-21,2.956138935543692e-21,2.331295220915943e-21,0.007079419587843816,1000.9603125472845
140.0,993.5,1.0446207683423073e-21,2.986313660340188e-21,2.3259065816346048e-21,0.007048848161500606,1000.9603125472845
140.0,994.0,1.0244049265359088e-21,3.014948326701301e-21,2.321468248360679e-21,0.007021252381320877,1000.9603125472845
140.0,994.5,1.0048813638163833e-21,3.041879760326508e-21,2.317691669236019e-21,0.006995743596761378,1000.9603125472845
140.0,995.0,9.858779191797753e-22,3.0670114298845583e-21,2.3142277522506554e-21,0.006971257875171481,1000.9603125472845
140.0,995.5,9.672156663510063e-22,3.0903191015684435e-21,2.310684723511226e-21,0.006946611475307706,1000.9603125472845
140.0,996.0,9.48716890745348e-22,3.1118492235082636e-21,2.3066449538557603e-21,0.00692055256575563,1000.9603125472845
140.0,996.5,9.302119557137418e-22,3.1317160984937413e-21,2.3016809889545774e-21,0.006891809941545507,1000.9603125472845
140.0,997.0,9.115452600203546e-22,3.1500934021417704e-21,2.2953710678989196e-21,0.006859139629475555,1000.9603125472845
140.0,997.5,8.925799836297849e-22,3.1672048932703942e-21,2.2873131756088805e-21,0.006821366561607409,1000.9603125472845
140.0,998.0,8.732013188813304e-22,3.183311287253345e-21,2.277136550351207e-21,0.00677741817257111,1000.9603125472845
140.0,998.5,8.533187928954931e-22,3.1986977352197547e-21,2.264511846346552e-21,0.006726353595536189,1000.9603125472845
140.0,999.0,8.32867277315938e-22,3.2136596876667347e-21,2.2491586220192366e-21,0.006667384575357057,1000.9603125472845
140.0,999.5,8.118074426933744e-22,3.228489969762302e-21,2.2308518445691147e-21,0.006599893214786596,1000.9603125472845
140.0,1000.0,7.901243953339117e-22,3.2434664624934864e-21,2.209423719930425e-21,0.006523435699058523,1000.9603125472845
140.0,1000.5,7.678269704796884e-22,3.258840389659609e-21,2.184767280535726e-21,0.006437751147868804,1000.9603125472845
140.0,1001.0,7.449451574668775e-22,3.2748274321430433e-21,2.1568346389276467e-21,0.006342754667030889,1000.9603125472845
140.0,1001.5,7.215281307288665e-22,3.2916000538703335e-21,2.1256365301996097e-21,0.0062385342577376416,1000.9603125472845
140.0,1002.0,6.976413215445785e-22,3.309281241412046e-21,2.0912386356287727e-21,0.006125338326903791,1000.9603125472845
140.0,1002.5,6.7336374222228e-22,3.3279418786536813e-21,2.0537580056618453e-21,0.006003563629599315,1000.9603125472845
140.0,1003.0,6.487849568737066e-22,3.3475989292601447e-21,2.0133577521939342e-21,0.0058737382993226984,1000.9603125472845
140.0,1003.5,6.240024055978709e-22,3.3682150327789647e-21,1.9702420665273983e-21,0.005736506022653425,1000.9603125472845
140.0,1004.0,5.991186276906772e-22,3.3897017358145615e-21,1.9246501897057988e-21,0.005592607352862316,1000.9603125472845
140.0,1004.5,5.742386363158286e-22,3.411922925150904e-21,1.876850075541094e-21,0.005442860350219238,1000.9603125472845
140.0,1005.0,5.494677475596156e-22,3.434698260874172e-21,1.8271327648524654e-21,0.005288143507350038,1000.9603125472845
140.0,1005.5,5.249093589986075e-22,3.4578128698955575e-21,1.7758058985510524e-21,0.005129376387301934,1000.9603125472845
140.0,1006.0,5.006632836254202e-22,3.481021586867492e-21,1.7231883928497128e-21,0.0049675038397658956,1000.9603125472845
140.0,1006.5,4.768242352357777e-22,3.5040610710871515e-21,1.6696050505371783e-21,0.004803480219523151,1000.9603125472845
140.0,1007.0,4.534805662510651e-22,3.52665626884499e-21,1.6153814980003693e-21,0.004638254726961647,1000.9603125472845
140.0,1007.5,4.307134094376625e-22,3.548533338121814e-21,1.5608400732429637e-21,0.0044727596477754,1000.9603125472845
140.0,1008.0,4.0859627401016204e-22,3.5694321693890656e-21,1.5062969996230604e-21,0.004307902409800806,1000.9603125472845
140.0,1008.5,3.8719459124748634e-22,3.589118502512331e-21,1.4520591334411024e-21,0.00414455651864668,1000.9603125472845
140.0,1009.0,3.6656619412031897e-22,3.6073984670355424e-21,1.3984240062766464e-21,0.0039835619875380176,1000.9603125472845
140.0,1009.5,3.46761645457241e-22,3.624137565329804e-21,1.3456793661326181e-21,0.0038257243386228506,1000.9603125472845
140.0,1010.0,3.2782542439153234e-22,3.6392768284647284e-21,1.2941061393568876e-21,0.0036718233234805794,1000.9603125472845
140.0,1010.5,3.0979739048701206e-22,3.6528562422218794e-21,1.2439828937563031e-21,0.0035226257925923335,1000.9603125472845
140.0,1011.0,2.927149799267983e-22,3.665035345830729e-21,1.1955938167269436e-21,0.003378908347164808,1000.9603125472845
140.0,1011.5,2.7661603279079274e-22,3.67612029305315e-21,1.149240179563987e-21,0.00324148955588786,1000.9603125472845
140.0,1012.0,2.615424281267317e-22,3.6865921249582584e-21,1.10525639951446e-21,0.0031112747320403314,1000.9603125472845
140.0,1012.5,2.4754465303254937e-22,3.697135850490825e-21,1.0640317188797682e-21,0.002989315959084842,1000.9603125472845
140.0,1013.0,2.346872047758566e-22,3.7086719504203856e-21,1.0260376306516844e-21,0.002876887514474517,1000.9603125472845
140.0,1013.5,2.230553308215152e-22,3.722388285187134e-21,9.918638483863452e-22,0.0027755843044013208,1000.9603125472845
140.0,1014.0,2.127625261656811e-22,3.739769579367118e-21,9.622610483658682e-22,0.0026874380386157507,1000.9603125472845
140.0,1014.5,2.0395919187310014e-22,3.7626265022406474e-21,9.381928334937102e-22,0.002615057722072643,1000.9603125472845
140.0,1015.0,1.9684181110715753e-22,3.793114650941119e-21,9.208947542480774e-22,0.002561788099320747,1000.9603125472845
140.0,1015.5,1.916627436268771e-22,3.8337519180167036e-21,9.119414039438744e-22,0.0025318886199642656,1000.9603125472845
140.0,1016.0,1.8873959114358807e-22,3.8874180875335656e-21,9.133171411414429e-22,0.0025307203102274837,1000.9603125472845
140.0,1016.5,1.8846369177515243e-22,3.9573431220691395e-21,9.27488317031711e-22,0.002564934562055871,1000.9603125472845
140.0,1017.0,1.9130651928562825e-22,4.0470780821437215e-21,9.574706693381566e-22,0.0026426463075845605,1000.9603125472845
140.0,1017.5,1.9782286377243935e-22,4.160439792361133e-21,1.0068852052289497e-21,0.0027735733881653407,1000.9603125472845
140.0,1018.0,2.0864945589295667e-22,4.301436524400562e-21,1.0799939409433854e-21,0.002969118839967937,1000.9603125472845
140.0,1018.5,2.2449749477400403e-22,4.474162983852857e-21,1.1817047493266853e-21,0.0032423673790010626,1000.9603125472845
140.0,1019.0,2.461377795615165e-22,4.682671467146607e-21,1.3175345802330167e-21,0.003607967861261824,1000.9603125472845
140.0,1019.5,2.7437710670225623e-22,4.9308139379057946e-21,1.4935189299325561e-21,0.004081870147528447,1000.9603125472845
140.0,1020.0,3.1002559216967444e-22,5.222061081190805e-21,1.7160596662661164e-21,0.004680896846198892,1000.9603125472845
140.0,1020.5,3.5385414870567653e-22,5.5593039901777385e-21,1.9917002731689392e-21,0.005422122440783778,1000.9603125472845
